filename,defect_area(porportion*1000),r_var,g_var,b_var,r_avg,g_avg,b_avg,level
06108.jpg,0.0,12509.41689988256,3495.838757189406,2458.7349511081147,27.18952380952381,28.203809523809525,29.69142857142857,B
06137.jpg,0.0,9464.311202753364,5816.238190018356,2418.470851031826,0.15523809523809523,0.13333333333333333,0.16952380952380952,B
06133.jpg,0.0,7751.230291346942,5548.1301443286675,2565.2970929812145,23.396190476190476,27.937142857142856,32.56190476190476,B
06162.jpg,0.13877551020408163,7398.400446230552,3064.364773704288,3586.753867588102,2.057142857142857,4.511428571428572,5.781904761904762,A
06129.jpg,4.473469387755102,3373.7934322903893,1218.5661018743765,1203.0423186951632,0.23714285714285716,0.2885714285714286,6.875238095238095,A
06117.jpg,0.40816326530612246,6848.905213238653,3991.6376256609537,2886.7047114671814,0.20666666666666667,0.21428571428571427,0.15619047619047619,B
06153.jpg,0.6081632653061224,12108.406945306113,3183.660866651815,2993.734997194502,0.28,0.26857142857142857,0.4838095238095238,A
06164.jpg,0.04897959183673469,9247.778032396682,2778.6553958294694,1707.3746803552963,0.28,0.1961904761904762,0.21047619047619048,C
06181.jpg,0.11428571428571428,10641.046195583582,4744.474479288533,2954.070716405941,0.2038095238095238,0.15904761904761905,0.1895238095238095,B
06149.jpg,0.0,9299.878797361856,3521.787930151042,2183.7741415426885,0.22095238095238096,0.14666666666666667,0.16285714285714287,A
06161.jpg,0.0,9980.806132930815,4122.797090729499,1802.9225749564955,25.293333333333333,25.875238095238096,26.66,C
06112.jpg,0.6448979591836734,8374.18950159347,4085.613019018843,3308.432930189832,0.35619047619047617,3.4114285714285715,4.228571428571429,B
06150.jpg,3.4571428571428573,9966.197444152675,7771.390622144992,6622.548182281329,0.20095238095238097,0.20857142857142857,0.17904761904761904,B
06127.jpg,0.0,11536.438952851995,2855.3350598137267,3029.367442748151,0.10857142857142857,0.05904761904761905,0.05238095238095238,A
06176.jpg,0.0,14048.408868221866,3309.4378938283576,1977.414213551393,19.255238095238095,23.042857142857144,25.16952380952381,B
06160.jpg,2.048979591836735,10158.687088683317,3489.3412142341467,1378.2354207186893,21.0,23.282857142857143,25.17238095238095,C
06184.jpg,15.020408163265307,7550.024127288275,2276.279233551023,2844.4946912969467,0.1838095238095238,0.20761904761904762,0.38,C
06120.jpg,0.0,10422.181924560306,3666.419509052972,1961.6668601524993,2.76,6.2371428571428575,8.60952380952381,B
06154.jpg,5.559183673469388,10220.81989412335,3705.6595718493318,1901.7321804129883,0.2257142857142857,0.17809523809523808,0.15619047619047619,C
06177.jpg,5.040816326530612,5437.135319740222,773.1410105664997,923.4360146024925,0.24476190476190476,0.9066666666666666,13.102857142857143,C
06146.jpg,1.3959183673469389,5506.476039261388,1738.7239258765437,704.1564307103388,7.1657142857142855,8.57047619047619,9.217142857142857,C
